"id";"tahun";"kode";"nama";"urutan";"singkatan"
11;2022;11;ACEH;1;
12;2022;12;SUMATERA UTARA;2;
13;2022;13;SUMATERA BARAT;3;
14;2022;14;RIAU;4;
15;2022;15;JAMBI;5;
16;2022;16;SUMATERA SELATAN;6;
17;2022;17;BENGKULU;7;
18;2022;18;LAMPUNG;8;
19;2022;19;KEPULAUAN BANGKA BELITUNG;9;
21;2022;21;KEPULAUAN RIAU;10;
31;2022;31;DKI JAKARTA;11;
32;2022;32;JAWA BARAT;12;
33;2022;33;JAWA TENGAH;13;
34;2022;34;DAERAH ISTIMEWA YOGYAKARTA;14;
35;2022;35;JAWA TIMUR;15;
36;2022;36;BANTEN;16;
51;2022;51;BALI;17;
52;2022;52;NUSA TENGGARA BARAT;18;
53;2022;53;NUSA TENGGARA TIMUR;19;
61;2022;61;KALIMANTAN BARAT;20;
62;2022;62;KALIMANTAN TENGAH;21;
63;2022;63;KALIMANTAN SELATAN;22;
64;2022;64;KALIMANTAN TIMUR;23;
65;2022;65;KALIMANTAN UTARA;24;
71;2022;71;SULAWESI UTARA;25;
72;2022;72;SULAWESI TENGAH;26;
73;2022;73;SULAWESI SELATAN;27;
74;2022;74;SULAWESI TENGGARA;28;
75;2022;75;GORONTALO;29;
76;2022;76;SULAWESI BARAT;30;
81;2022;81;MALUKU;31;
82;2022;82;MALUKU UTARA;32;
91;2022;91;PAPUA;33;
92;2022;92;PAPUA BARAT;34;
93;2022;93;PAPUA SELATAN;35;
94;2022;94;PAPUA TENGAH;36;
95;2022;95;PAPUA PEGUNUNGAN;37;
98;2022;98;PAPUA BARAT DAYA;38;
