"Jenis";"Satuan";"Besaran";"Uraian";"Tahun"
 Narasumber;OJ;1700000;Menteri/Pejabat Setingkat Menteri/Pejabat Negara Lainnya/yang disetarakan;2024
 Narasumber;OJ;1400000;Pejabat Eselon I/yang disetarakan;2024
 Narasumber;OJ;1000000;Pejabat Eselon II/yang disetarakan;2024
 Narasumber;OJ;1000000;Pejabat Eselon III ke bawah/yang disetarakan;2024
 Moderator;Orang/kali;700000;Pejabat Eselon III ke bawah/yang disetarakan;2024
 Pembawa Acara;OK;400000;Pejabat Eselon III ke bawah/yang disetarakan;2024
Panitia;OK;450000;Penanggung Jawab;2024
Panitia;OK;400000;Ketua/Wakil Ketua;2024
Panitia;OK;300000;Sekretaris;2024
Panitia;OK;300000;Anggota;2024
